District,District Name,Nom de Circonscription,Type of results*,Type de résultats**,Surname - Nom de famille,Middle name(s) - Autre(s) prénom(s),Given name - Prénom,party,Appartenance politique,Votes obtained - Votes obtenus,% Votes obtained - Votes obtenus %,Rejected ballots - Bulletins rejetés***,Total number of ballots cast - Nombre total de votes déposés
10001,Avalon,Avalon,preliminary,préliminaires,Chapman,,Matthew,Conservative,Conservateur,12538,31,0,40457
10001,Avalon,Avalon,preliminary,préliminaires,Malone,,Greg,Green Party,Parti Vert,2172,5.4,0,40457
10001,Avalon,Avalon,preliminary,préliminaires,McDonald,,Kenneth,Liberal,Libéral,18646,46.1,0,40457
10001,Avalon,Avalon,preliminary,préliminaires,Movelle,,Lea Mary,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7101,17.6,0,40457
10001,Avalon,Avalon,validated,validés,Chapman,,Matthew,Conservative,Conservateur,12855,31.1,397,41731
10001,Avalon,Avalon,validated,validés,Malone,,Greg,Green Party,Parti Vert,2215,5.4,397,41731
10001,Avalon,Avalon,validated,validés,McDonald,,Kenneth,Liberal,Libéral,19122,46.3,397,41731
10001,Avalon,Avalon,validated,validés,Movelle,,Lea Mary,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7142,17.3,397,41731
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,préliminaires,Cooper,,Matthew,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3855,12,0,32173
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,préliminaires,Reichel,,Kelsey,Green Party,Parti Vert,920,2.9,0,32173
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,préliminaires,Rogers,,Churence,Liberal,Libéral,14701,45.7,0,32173
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,préliminaires,Vokey,,Sharon,Conservative,Conservateur,12697,39.5,0,32173
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,validés,Cooper,,Matthew,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3855,12,609,32788
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,validés,Reichel,,Kelsey,Green Party,Parti Vert,920,2.9,609,32788
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,validés,Rogers,,Churence,Liberal,Libéral,14707,45.7,609,32788
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,validés,Vokey,,Sharon,Conservative,Conservateur,12697,39.5,609,32788
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,préliminaires,Bracci,,Alex,Conservative,Conservateur,11695,35.5,0,32924
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,préliminaires,Joe,,Noel,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4058,12.3,0,32924
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,préliminaires,Simms,,Scott,Liberal,Libéral,15861,48.2,0,32924
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,préliminaires,White,,Byron,Green Party,Parti Vert,1310,4,0,32924
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,validated,validés,Bracci,,Alex,Conservative,Conservateur,12081,35.3,770,34952
